year,age,mortality_sex_ratio
1914,60,1.33381
1914,61,1.38071
1914,62,1.30819
1914,63,1.36503
1914,64,1.25707
1914,65,1.24760
1914,66,1.33142
1914,67,1.30928
1914,68,1.30122
1914,69,1.33868
1914,70,1.25288
1914,71,1.23163
1914,72,1.21742
1914,73,1.17938
1914,74,1.28004
1914,75,1.15450
1914,76,1.20399
1914,77,1.21762
1914,78,1.15264
1914,79,1.15995
1914,80,1.22613
1914,81,1.24441
1914,82,1.23153
1914,83,1.16156
1914,84,1.16396
1914,85,1.17244
1914,86,1.23621
1914,87,1.28217
1914,88,1.11912
1914,89,1.17733
1914,90,1.22745
1914,91,1.25282
1914,92,1.10012
1914,93,1.03581
1914,94,1.10098
1914,95,1.07048
1914,96,1.19264
1914,97,1.11251
1914,98,1.18514
1914,99,0.52421
1914,100,0.82947
1915,0,1.30026
1915,1,1.09871
1915,2,1.09535
1915,3,1.04029
1915,4,1.07259
1915,5,0.96345
1915,6,1.02959
1915,7,0.98765
1915,8,1.07138
1915,9,1.04608
1915,10,1.05447
1915,11,1.05309
1915,12,1.01408
1915,13,0.93848
1915,14,0.99015
1915,15,0.99312
1915,16,1.59082
1915,17,3.89943
1915,18,6.63161
1915,19,7.39211
1915,20,7.87531
1915,21,7.65714
1915,22,6.81110
1915,23,6.58240
1915,24,6.19129
1915,25,5.49571
1915,26,5.11601
1915,27,4.70421
1915,28,4.46842
1915,29,3.59057
1915,30,3.19286
1915,31,3.08830
1915,32,2.68382
1915,33,2.47171
1915,34,2.24553
1915,35,2.09804
1915,36,1.96717
1915,37,1.91405
1915,38,1.68131
1915,39,1.63213
1915,40,1.55472
1915,41,1.59502
1915,42,1.46979
1915,43,1.47412
1915,44,1.37032
1915,45,1.46212
1915,46,1.30185
1915,47,1.31600
1915,48,1.32652
1915,49,1.33685
1915,50,1.36723
1915,51,1.32384
1915,52,1.31860
1915,53,1.33657
1915,54,1.30506
1915,55,1.34760
1915,56,1.34961
1915,57,1.36714
1915,58,1.37771
1915,59,1.42503
1915,60,1.34546
1915,61,1.38547
1915,62,1.43093
1915,63,1.39553
1915,64,1.29399
1915,65,1.34827
1915,66,1.31065
1915,67,1.28274
1915,68,1.24865
1915,69,1.30565
1915,70,1.27818
1915,71,1.27271
1915,72,1.21948
1915,73,1.19143
1915,74,1.19390
1915,75,1.24301
1915,76,1.21784
1915,77,1.16345
1915,78,1.12535
1915,79,1.14248
1915,80,1.21254
1915,81,1.24278
1915,82,1.18831
